timestamp,elapsed_s,vehicles,total_cpu_percent,total_mem_mb,kuksa-databroker_cpu,kuksa-databroker_mem_mb,ditto-gateway_cpu,ditto-gateway_mem_mb,ditto-things_cpu,ditto-things_mem_mb,ditto-policies_cpu,ditto-policies_mem_mb,mongodb_cpu,mongodb_mem_mb
23:37:05,0.0,3,91.19,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:10,5.0,3,54.76,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:15,10.0,3,59.97,563.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:20,15.0,3,25.96,701.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:25,20.0,3,24.95,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:30,25.0,3,14.43,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:35,30.1,3,42.83,147.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:40,35.1,3,65.95,351.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:45,40.1,3,2.58,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:50,45.1,3,53.74,501.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:37:55,50.1,3,76.9,549.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:38:00,55.1,3,94.45,160.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
