timestamp,elapsed_s,vehicles,total_cpu_percent,total_mem_mb,kuksa-databroker_cpu,kuksa-databroker_mem_mb,ditto-gateway_cpu,ditto-gateway_mem_mb,ditto-things_cpu,ditto-things_mem_mb,ditto-policies_cpu,ditto-policies_mem_mb,mongodb_cpu,mongodb_mem_mb
23:34:35,0.0,1,67.12,436.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:34:40,5.0,1,67.15,729.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:34:45,10.0,1,45.56,263.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:34:50,15.0,1,49.87,105.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:34:55,20.0,1,37.57,612.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:00,25.0,1,18.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:05,30.1,1,57.28,245.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:10,35.1,1,56.32,918.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:15,40.1,1,66.52,641.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:20,45.1,1,99.5,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:25,50.1,1,0.28,193.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:35:30,55.1,1,42.82,830.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
